filename, language, Go, Markdown, Properties, Python, Jupyter, HTML, CSS, XML, JavaScript, comment, blank, total
d:\Golang\src\Spider\README.md, Markdown, 0, 62, 0, 0, 0, 0, 0, 0, 0, 0, 26, 88
d:\Golang\src\Spider\color\color.go, Go, 340, 0, 0, 0, 0, 0, 0, 0, 0, 153, 110, 603
d:\Golang\src\Spider\conf\app.conf, Properties, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 1, 4
d:\Golang\src\Spider\controllers\crawl.go, Go, 124, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19, 144
d:\Golang\src\Spider\controllers\default.go, Go, 122, 0, 0, 0, 0, 0, 0, 0, 0, 9, 14, 145
d:\Golang\src\Spider\controllers\detail.go, Go, 23, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 28
d:\Golang\src\Spider\controllers\heaven.go, Go, 45, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 52
d:\Golang\src\Spider\controllers\manager.go, Go, 38, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 45
d:\Golang\src\Spider\controllers\print.go, Go, 78, 0, 0, 0, 0, 0, 0, 0, 0, 1, 13, 92
d:\Golang\src\Spider\controllers\process.go, Go, 114, 0, 0, 0, 0, 0, 0, 0, 0, 19, 16, 149
d:\Golang\src\Spider\main.go, Go, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 4, 12
d:\Golang\src\Spider\models\models.go, Go, 691, 0, 0, 0, 0, 0, 0, 0, 0, 548, 77, 1316
d:\Golang\src\Spider\models\redis.go, Go, 161, 0, 0, 0, 0, 0, 0, 0, 0, 0, 27, 188
d:\Golang\src\Spider\models\utils.go, Go, 204, 0, 0, 0, 0, 0, 0, 0, 0, 0, 37, 241
d:\Golang\src\Spider\routers\router.go, Go, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3, 19
d:\Golang\src\Spider\static\css\animate.css, CSS, 0, 0, 0, 0, 0, 0, 2194, 0, 0, 27, 21, 2242
d:\Golang\src\Spider\static\css\baguetteBox.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 0, 0, 5, 0, 6
d:\Golang\src\Spider\static\css\bootstrap-grid.css, CSS, 0, 0, 0, 0, 0, 0, 3681, 0, 0, 7, 211, 3899
d:\Golang\src\Spider\static\css\bootstrap-grid.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
d:\Golang\src\Spider\static\css\bootstrap-reboot.css, CSS, 0, 0, 0, 0, 0, 0, 264, 0, 0, 8, 55, 327
d:\Golang\src\Spider\static\css\bootstrap-reboot.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 0, 0, 7, 0, 8
d:\Golang\src\Spider\static\css\bootstrap.css, CSS, 0, 0, 0, 0, 0, 0, 9016, 0, 0, 7, 1201, 10224
d:\Golang\src\Spider\static\css\bootstrap.min.css, CSS, 0, 0, 0, 0, 0, 0, 1, 0, 0, 6, 0, 7
d:\Golang\src\Spider\static\css\bootstrapv3.css, CSS, 0, 0, 0, 0, 0, 0, 5780, 0, 0, 11, 1014, 6805
d:\Golang\src\Spider\static\css\common.css, CSS, 0, 0, 0, 0, 0, 0, 146, 0, 0, 0, 15, 161
d:\Golang\src\Spider\static\css\font-awesome.css, CSS, 0, 0, 0, 0, 0, 0, 1432, 0, 0, 47, 1, 1480
d:\Golang\src\Spider\static\css\font-awesome.min.css, CSS, 0, 0, 0, 0, 0, 0, 403, 0, 0, 0, 1, 404
d:\Golang\src\Spider\static\css\gallery-grid.css, CSS, 0, 0, 0, 0, 0, 0, 53, 0, 0, 1, 12, 66
d:\Golang\src\Spider\static\css\htmleaf-demo.css, CSS, 0, 0, 0, 0, 0, 0, 226, 0, 0, 9, 20, 255
d:\Golang\src\Spider\static\css\nav.css, CSS, 0, 0, 0, 0, 0, 0, 33, 0, 0, 8, 8, 49
d:\Golang\src\Spider\static\css\toast.css, CSS, 0, 0, 0, 0, 0, 0, 75, 0, 0, 14, 9, 98
d:\Golang\src\Spider\static\fonts\fontawesome-webfont.svg, XML, 0, 0, 0, 0, 0, 0, 0, 399, 0, 0, 0, 399
d:\Golang\src\Spider\static\fonts\icomoon.svg, XML, 0, 0, 0, 0, 0, 0, 0, 12, 0, 0, 0, 12
d:\Golang\src\Spider\static\fonts\iconfont.css, CSS, 0, 0, 0, 0, 0, 0, 46, 0, 0, 0, 36, 82
d:\Golang\src\Spider\static\fonts\iconfont.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
d:\Golang\src\Spider\static\fonts\iconfont.svg, XML, 0, 0, 0, 0, 0, 0, 0, 55, 0, 3, 72, 130
d:\Golang\src\Spider\static\js\baguetteBox.min.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 7
d:\Golang\src\Spider\static\js\bootstrap-paginator.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 393, 105, 160, 658
d:\Golang\src\Spider\static\js\bootstrap-paginator.min.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 0, 1
d:\Golang\src\Spider\static\js\bootstrap.bundle.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 4586, 1375, 1174, 7135
d:\Golang\src\Spider\static\js\bootstrap.bundle.min.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 7
d:\Golang\src\Spider\static\js\bootstrap.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 3347, 325, 850, 4522
d:\Golang\src\Spider\static\js\bootstrap.min.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 6, 0, 7
d:\Golang\src\Spider\static\js\jquery-3.4.1.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 6800, 1810, 1988, 10598
d:\Golang\src\Spider\static\js\jquery-3.4.1.slim.min.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 2
d:\Golang\src\Spider\static\js\nav.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 23, 4, 0, 27
d:\Golang\src\Spider\static\js\popper.min.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 0, 5
d:\Golang\src\Spider\static\js\reload.min.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 1, 0, 1, 2
d:\Golang\src\Spider\static\js\toast.js, JavaScript, 0, 0, 0, 0, 0, 0, 0, 0, 110, 7, 14, 131
d:\Golang\src\Spider\tests\default_test.go, Go, 30, 0, 0, 0, 0, 0, 0, 0, 0, 1, 9, 40
d:\Golang\src\Spider\tools\.ipynb_checkpoints\tools-checkpoint.ipynb, Jupyter, 0, 0, 0, 0, 6, 0, 0, 0, 0, 0, 1, 7
d:\Golang\src\Spider\tools\load_database.py, Python, 0, 0, 0, 5, 0, 0, 0, 0, 0, 0, 2, 7
d:\Golang\src\Spider\tools\load_redis.py, Python, 0, 0, 0, 67, 0, 0, 0, 0, 0, 0, 18, 85
d:\Golang\src\Spider\tools\tools.ipynb, Jupyter, 0, 0, 0, 0, 443, 0, 0, 0, 0, 0, 1, 444
d:\Golang\src\Spider\views\imagedetails.html, HTML, 0, 0, 0, 0, 0, 42, 0, 0, 0, 0, 9, 51
d:\Golang\src\Spider\views\index.html, HTML, 0, 0, 0, 0, 0, 261, 0, 0, 0, 5, 6, 272
Total, -, 1994, 62, 3, 72, 449, 303, 23353, 466, 15267, 4552, 7275, 53796